contract_id,actual_vuln,detector_pred,detector_correct,critic_pred,critic_correct,removed_by_critic,added_by_critic,effect,critic_failed
access_control/FibonacciBalance.sol,access_control,access_control|reentrancy,0,access_control,1,reentrancy,,helped,0
access_control/arbitrary_location_write_simple.sol,access_control,access_control,1,access_control,1,,,same,0
access_control/incorrect_constructor_name1.sol,access_control,access_control|reentrancy,0,access_control,1,reentrancy,,helped,0
access_control/incorrect_constructor_name2.sol,access_control,access_control|reentrancy,0,access_control,1,reentrancy,,helped,0
access_control/incorrect_constructor_name3.sol,access_control,access_control|reentrancy,0,(none),0,access_control|reentrancy,,mixed,0
access_control/mapping_write.sol,access_control,access_control|reentrancy,0,access_control,1,reentrancy,,helped,0
access_control/multiowned_vulnerable.sol,access_control,access_control|reentrancy,0,access_control,1,reentrancy,,helped,0
access_control/mycontract.sol,access_control,access_control,1,access_control,1,,,same,0
access_control/parity_wallet_bug_1.sol,access_control,access_control|reentrancy|timestamp_dependency,0,access_control,1,reentrancy|timestamp_dependency,,helped,0
access_control/parity_wallet_bug_2.sol,access_control,access_control|reentrancy,0,(none),0,access_control|reentrancy,,mixed,0
access_control/phishable.sol,access_control,access_control|reentrancy,0,access_control,1,reentrancy,,helped,0
access_control/proxy.sol,access_control,access_control|reentrancy,0,access_control,1,reentrancy,,helped,0
access_control/rubixi.sol,access_control,access_control|reentrancy,0,access_control,1,reentrancy,,helped,0
access_control/simple_suicide.sol,access_control,access_control,1,access_control,1,,,same,0
access_control/unprotected0.sol,access_control,access_control,1,access_control,1,,,same,0
access_control/wallet_02_refund_nosub.sol,access_control,access_control|reentrancy,0,access_control,1,reentrancy,,helped,0
access_control/wallet_03_wrong_constructor.sol,access_control,access_control|reentrancy,0,access_control,1,reentrancy,,helped,0
access_control/wallet_04_confused_sign.sol,access_control,access_control|reentrancy,0,access_control,1,reentrancy,,helped,0
reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,reentrancy,access_control|reentrancy,0,access_control|reentrancy,0,,,same,0
reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,reentrancy,access_control|reentrancy,0,reentrancy,1,access_control,,helped,0
reentrancy/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,reentrancy,access_control|reentrancy,0,access_control|reentrancy,0,,,same,0
reentrancy/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,reentrancy,access_control|reentrancy,0,access_control|reentrancy,0,,,same,0
reentrancy/0x561eac93c92360949ab1f1403323e6db345cbf31.sol,reentrancy,access_control|reentrancy,0,access_control|reentrancy,0,,,same,0
reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,reentrancy,access_control|reentrancy,0,access_control|reentrancy,0,,,same,0
reentrancy/0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,reentrancy,access_control|reentrancy,0,reentrancy|timestamp_dependency,0,access_control,timestamp_dependency,mixed,0
reentrancy/0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,reentrancy,access_control|reentrancy,0,reentrancy,1,access_control,,helped,0
reentrancy/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,reentrancy,access_control|reentrancy,0,reentrancy,1,access_control,,helped,0
reentrancy/0x8c7777c45481dba411450c228cb692ac3d550344.sol,reentrancy,access_control|reentrancy,0,reentrancy,1,access_control,,helped,0
reentrancy/0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,reentrancy,access_control|reentrancy|timestamp_dependency,0,reentrancy|timestamp_dependency,0,access_control,,helped,0
reentrancy/0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,reentrancy,access_control|reentrancy,0,reentrancy,1,access_control,,helped,0
reentrancy/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,reentrancy,access_control|reentrancy,0,access_control|reentrancy,0,,,same,0
reentrancy/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,reentrancy,access_control|reentrancy,0,access_control|reentrancy,0,,,same,0
reentrancy/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,reentrancy,access_control|reentrancy,0,reentrancy,1,access_control,,helped,0
reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,reentrancy,access_control|reentrancy,0,reentrancy,1,access_control,,helped,0
reentrancy/0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,reentrancy,access_control|reentrancy,0,reentrancy,1,access_control,,helped,0
reentrancy/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,reentrancy,access_control|reentrancy,0,access_control|reentrancy,0,,,same,0
reentrancy/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,reentrancy,access_control|reentrancy,0,reentrancy,1,access_control,,helped,0
reentrancy/0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,reentrancy,access_control|reentrancy,0,reentrancy,1,access_control,,helped,0
reentrancy/etherbank.sol,reentrancy,access_control|reentrancy,0,reentrancy,1,access_control,,helped,0
reentrancy/etherstore.sol,reentrancy,access_control|reentrancy,0,reentrancy,1,access_control,,helped,0
reentrancy/modifier_reentrancy.sol,reentrancy,access_control|reentrancy,0,(none),0,access_control|reentrancy,,mixed,0
reentrancy/reentrance.sol,reentrancy,access_control|reentrancy,0,reentrancy,1,access_control,,helped,0
reentrancy/reentrancy_bonus.sol,reentrancy,access_control|reentrancy,0,reentrancy,1,access_control,,helped,0
reentrancy/reentrancy_cross_function.sol,reentrancy,access_control|reentrancy,0,reentrancy,1,access_control,,helped,0
reentrancy/reentrancy_dao.sol,reentrancy,access_control|reentrancy,0,reentrancy,1,access_control,,helped,0
reentrancy/reentrancy_insecure.sol,reentrancy,access_control|reentrancy,0,access_control|reentrancy,0,,,same,1
reentrancy/reentrancy_simple.sol,reentrancy,access_control|reentrancy,0,access_control|reentrancy,0,,,same,1
reentrancy/simple_dao.sol,reentrancy,access_control|reentrancy,0,access_control|reentrancy,0,,,same,1
reentrancy/spank_chain_payment.sol,reentrancy,(none),0,(none),0,,,same,1
time_manipulation/ether_lotto.sol,timestamp_dependency,reentrancy|timestamp_dependency,0,reentrancy|timestamp_dependency,0,,,same,1
time_manipulation/governmental_survey.sol,timestamp_dependency,access_control|reentrancy|timestamp_dependency,0,access_control|reentrancy|timestamp_dependency,0,,,same,1
time_manipulation/lottopollo.sol,timestamp_dependency,access_control|reentrancy|timestamp_dependency,0,access_control|reentrancy|timestamp_dependency,0,,,same,1
time_manipulation/roulette.sol,timestamp_dependency,access_control|reentrancy|timestamp_dependency,0,access_control|reentrancy|timestamp_dependency,0,,,same,1
time_manipulation/timed_crowdsale.sol,timestamp_dependency,timestamp_dependency,1,timestamp_dependency,1,,,same,1
