contract_id,gt_classes,pred_classes,tp_classes,fp_classes,fn_classes,runtime_seconds,gt_reentrancy,pred_reentrancy,gt_access_control,pred_access_control,gt_timestamp_dependency,pred_timestamp_dependency,model,use_moderator,skipped,reentrancy_spec,access_control_spec,timestamp_dependency_spec,specialist_union,moderator_classes,moderator_error,reentrancy_spec_tokens,access_control_spec_tokens,timestamp_dependency_spec_tokens,moderator_tokens,total_tokens
access_control/FibonacciBalance.sol,access_control,access_control,access_control,,,6.958,0,0,1,1,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,,reentrancy|access_control,access_control,,730,800,676,1041,3247
access_control/arbitrary_location_write_simple.sol,access_control,timestamp_dependency,,timestamp_dependency,access_control,2.736,0,0,1,0,0,1,gpt-4.1-nano,1,0,,access_control,,access_control,timestamp_dependency,,506,575,510,700,2291
access_control/incorrect_constructor_name1.sol,access_control,access_control,access_control,,,2.483,0,0,1,1,0,0,gpt-4.1-nano,1,0,,access_control,,access_control,access_control,,422,495,426,635,1978
access_control/incorrect_constructor_name2.sol,access_control,access_control|reentrancy,access_control,reentrancy,,2.825,0,1,1,1,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy|access_control,,448,467,398,704,2017
access_control/incorrect_constructor_name3.sol,access_control,access_control|reentrancy,access_control,reentrancy,,3.093,0,1,1,1,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy|access_control,,450,469,398,713,2030
access_control/mapping_write.sol,access_control,reentrancy,,reentrancy,access_control,2.397,0,1,1,0,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy,,512,520,457,712,2201
access_control/multiowned_vulnerable.sol,access_control,reentrancy,,reentrancy,access_control,2.548,0,1,1,0,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy,,691,700,632,900,2923
access_control/mycontract.sol,access_control,reentrancy,,reentrancy,access_control,2.331,0,1,1,0,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,timestamp_dependency,reentrancy|access_control|timestamp_dependency,reentrancy,,442,451,444,685,2022
access_control/parity_wallet_bug_1.sol,access_control,access_control,access_control,,,2.873,0,0,1,1,0,0,gpt-4.1-nano,1,0,,access_control,,access_control,access_control,,4488,4562,4492,4691,18233
access_control/parity_wallet_bug_2.sol,access_control,access_control|reentrancy|timestamp_dependency,access_control,reentrancy|timestamp_dependency,,3.934,0,1,1,1,0,1,gpt-4.1-nano,1,0,reentrancy,access_control,timestamp_dependency,reentrancy|access_control|timestamp_dependency,reentrancy|access_control|timestamp_dependency,,3961,3961,3956,4333,16211
access_control/phishable.sol,access_control,reentrancy,,reentrancy,access_control,3.524,0,1,1,0,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy,,432,447,379,635,1893
access_control/proxy.sol,access_control,reentrancy,,reentrancy,access_control,3.891,0,1,1,0,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy,,445,522,387,719,2073
