contract_id,gt_classes,pred_classes,tp_classes,fp_classes,fn_classes,runtime_seconds,gt_reentrancy,pred_reentrancy,gt_access_control,pred_access_control,gt_timestamp_dependency,pred_timestamp_dependency,model,use_moderator,skipped,reentrancy_spec,access_control_spec,timestamp_dependency_spec,specialist_union,moderator_classes,moderator_error,reentrancy_spec_tokens,access_control_spec_tokens,timestamp_dependency_spec_tokens,moderator_tokens,total_tokens
access_control/FibonacciBalance.sol,access_control,access_control,access_control,,,48.721,0,0,1,1,0,0,gpt-5.5,1,0,,access_control,,access_control,access_control,,1192,1337,704,2704,5937
access_control/arbitrary_location_write_simple.sol,access_control,access_control,access_control,,,18.981,0,0,1,1,0,0,gpt-5.5,1,0,,access_control,,access_control,access_control,,575,1102,538,899,3114
access_control/incorrect_constructor_name1.sol,access_control,access_control,access_control,,,9.451,0,0,1,1,0,0,gpt-5.5,1,0,,access_control,,access_control,access_control,,549,658,453,781,2441
access_control/incorrect_constructor_name2.sol,access_control,access_control,access_control,,,10.357,0,0,1,1,0,0,gpt-5.5,1,0,,access_control,,access_control,access_control,,587,732,423,727,2469
access_control/incorrect_constructor_name3.sol,access_control,access_control,access_control,,,11.774,0,0,1,1,0,0,gpt-5.5,1,0,,access_control,,access_control,access_control,,636,564,429,826,2455
access_control/mapping_write.sol,access_control,access_control,access_control,,,16.933,0,0,1,1,0,0,gpt-5.5,1,0,,access_control,,access_control,access_control,,624,852,486,976,2938
access_control/multiowned_vulnerable.sol,access_control,access_control,access_control,,,9.007,0,0,1,1,0,0,gpt-5.5,1,0,,access_control,,access_control,access_control,,812,790,661,941,3204
access_control/mycontract.sol,access_control,access_control,access_control,,,14.02,0,0,1,1,0,0,gpt-5.5,1,0,,access_control,,access_control,access_control,,474,674,421,674,2243
access_control/parity_wallet_bug_1.sol,access_control,access_control|timestamp_dependency,access_control,timestamp_dependency,,111.139,0,0,1,1,0,1,gpt-5.5,1,0,reentrancy,access_control,timestamp_dependency,reentrancy|access_control|timestamp_dependency,access_control|timestamp_dependency,,7432,5156,7759,8190,28537
access_control/parity_wallet_bug_2.sol,access_control,access_control|reentrancy|timestamp_dependency,access_control,reentrancy|timestamp_dependency,,90.201,0,1,1,1,0,1,gpt-5.5,1,0,reentrancy,access_control,timestamp_dependency,reentrancy|access_control|timestamp_dependency,reentrancy|access_control|timestamp_dependency,,6679,5606,7660,6611,26556
access_control/phishable.sol,access_control,access_control,access_control,,,9.593,0,0,1,1,0,0,gpt-5.5,1,0,,access_control,,access_control,access_control,,543,524,406,795,2268
access_control/proxy.sol,access_control,access_control,access_control,,,9.692,0,0,1,1,0,0,gpt-5.5,1,0,,access_control,,access_control,access_control,,471,625,415,670,2181
access_control/rubixi.sol,access_control,access_control,access_control,,,31.229,0,0,1,1,0,0,gpt-5.5,1,0,reentrancy,access_control,,reentrancy|access_control,access_control,,3113,1768,1569,2368,8818
access_control/simple_suicide.sol,access_control,access_control,access_control,,,8.555,0,0,1,1,0,0,gpt-5.5,1,0,,access_control,,access_control,access_control,,421,576,380,641,2018
access_control/unprotected0.sol,access_control,access_control,access_control,,,8.365,0,0,1,1,0,0,gpt-5.5,1,0,,access_control,,access_control,access_control,,459,672,461,663,2255
access_control/wallet_02_refund_nosub.sol,access_control,access_control,access_control,,,41.851,0,0,1,1,0,0,gpt-5.5,1,0,reentrancy,access_control,,reentrancy|access_control,access_control,,1611,777,565,1393,4346
