contract_id,gt_classes,pred_classes,tp_classes,fp_classes,fn_classes,runtime_seconds,gt_reentrancy,pred_reentrancy,gt_access_control,pred_access_control,gt_timestamp_dependency,pred_timestamp_dependency,model,use_moderator,skipped,reentrancy_spec,access_control_spec,timestamp_dependency_spec,specialist_union,moderator_classes,moderator_error,reentrancy_spec_tokens,access_control_spec_tokens,timestamp_dependency_spec_tokens,moderator_tokens,total_tokens
access_control/FibonacciBalance.sol,access_control,access_control|reentrancy,access_control,reentrancy,,5.854,0,1,1,1,0,0,gpt4o-mini,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy|access_control,,736,770,677,1042,3225
access_control/arbitrary_location_write_simple.sol,access_control,access_control,access_control,,,5.311,0,0,1,1,0,0,gpt4o-mini,1,0,,access_control,,access_control,access_control,,507,650,511,849,2517
access_control/incorrect_constructor_name1.sol,access_control,access_control|reentrancy,access_control,reentrancy,,4.55,0,1,1,1,0,0,gpt4o-mini,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy|access_control,,477,482,427,698,2084
access_control/incorrect_constructor_name2.sol,access_control,access_control|reentrancy,access_control,reentrancy,,47.991,0,1,1,1,0,0,gpt4o-mini,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy|access_control,,448,457,399,674,1978
access_control/incorrect_constructor_name3.sol,access_control,access_control|reentrancy,access_control,reentrancy,,4.702,0,1,1,1,0,0,gpt4o-mini,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy|access_control,,446,459,399,674,1978
access_control/mapping_write.sol,access_control,access_control|reentrancy,access_control,reentrancy,,4.91,0,1,1,1,0,0,gpt4o-mini,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy|access_control,,507,519,458,732,2216
access_control/multiowned_vulnerable.sol,access_control,access_control|reentrancy,access_control,reentrancy,,4.738,0,1,1,1,0,0,gpt4o-mini,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy|access_control,,682,698,633,922,2935
access_control/mycontract.sol,access_control,access_control|reentrancy,access_control,reentrancy,,47.929,0,1,1,1,0,0,gpt4o-mini,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy|access_control,,445,455,393,682,1975
access_control/parity_wallet_bug_1.sol,access_control,access_control|reentrancy|timestamp_dependency,access_control,reentrancy|timestamp_dependency,,68.878,0,1,1,1,0,1,gpt4o-mini,1,0,reentrancy,access_control,timestamp_dependency,reentrancy|access_control|timestamp_dependency,reentrancy|access_control|timestamp_dependency,,4548,4715,4551,5189,19003
access_control/parity_wallet_bug_2.sol,access_control,access_control|reentrancy|timestamp_dependency,access_control,reentrancy|timestamp_dependency,,7.235,0,1,1,1,0,1,gpt4o-mini,1,0,reentrancy,access_control,timestamp_dependency,reentrancy|access_control|timestamp_dependency,reentrancy|access_control|timestamp_dependency,,4027,4026,3953,4549,16555
access_control/phishable.sol,access_control,access_control|reentrancy,access_control,reentrancy,,4.57,0,1,1,1,0,0,gpt4o-mini,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy|access_control,,429,442,380,663,1914
access_control/proxy.sol,access_control,access_control|reentrancy,access_control,reentrancy,,4.705,0,1,1,1,0,0,gpt4o-mini,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy|access_control,,441,451,388,681,1961
access_control/rubixi.sol,access_control,access_control|reentrancy,access_control,reentrancy,,43.801,0,1,1,1,0,0,gpt4o-mini,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy|access_control,,1588,1598,1535,1828,6549
access_control/simple_suicide.sol,access_control,access_control,access_control,,,3.987,0,0,1,1,0,0,gpt4o-mini,1,0,,access_control,,access_control,access_control,,358,430,362,558,1708
access_control/unprotected0.sol,access_control,access_control,access_control,,,3.497,0,0,1,1,0,0,gpt4o-mini,1,0,,access_control,,access_control,access_control,,431,498,435,614,1978
access_control/wallet_02_refund_nosub.sol,access_control,access_control|reentrancy,access_control,reentrancy,,4.706,0,1,1,1,0,0,gpt4o-mini,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy|access_control,,589,595,539,812,2535
