contract_id,gt_classes,pred_classes,tp_classes,fp_classes,fn_classes,runtime_seconds,gt_reentrancy,pred_reentrancy,gt_access_control,pred_access_control,gt_timestamp_dependency,pred_timestamp_dependency,model,skipped_llm,slither_in_scope,confirmed,rejected,total_tokens,error
access_control/FibonacciBalance.sol,access_control,access_control,access_control,,,1.509,0,0,1,1,0,0,gpt-4.1-nano,0,access_control,access_control,,895,
access_control/arbitrary_location_write_simple.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt-4.1-nano,1,,,,0,
access_control/incorrect_constructor_name1.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt-4.1-nano,1,,,,0,
access_control/incorrect_constructor_name2.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt-4.1-nano,1,,,,0,
access_control/incorrect_constructor_name3.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt-4.1-nano,1,,,,0,
access_control/mapping_write.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt-4.1-nano,1,,,,0,
access_control/multiowned_vulnerable.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt-4.1-nano,1,,,,0,
access_control/mycontract.sol,access_control,access_control,access_control,,,0.874,0,0,1,1,0,0,gpt-4.1-nano,0,access_control,access_control,,597,
access_control/parity_wallet_bug_1.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt-4.1-nano,1,,,,0,
access_control/parity_wallet_bug_2.sol,access_control,,,,access_control,2.472,0,0,1,0,0,0,gpt-4.1-nano,0,reentrancy|access_control|timestamp_dependency,,reentrancy|access_control|timestamp_dependency,4281,
access_control/phishable.sol,access_control,access_control,access_control,,,1.12,0,0,1,1,0,0,gpt-4.1-nano,0,access_control,access_control,,587,
access_control/proxy.sol,access_control,access_control,access_control,,,4.027,0,0,1,1,0,0,gpt-4.1-nano,0,access_control,access_control,,600,
access_control/rubixi.sol,access_control,,,,access_control,1.027,0,0,1,0,0,0,gpt-4.1-nano,0,reentrancy,,reentrancy,1759,
access_control/simple_suicide.sol,access_control,access_control,access_control,,,1.11,0,0,1,1,0,0,gpt-4.1-nano,0,access_control,access_control,,579,
access_control/unprotected0.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt-4.1-nano,1,,,,0,
access_control/wallet_02_refund_nosub.sol,access_control,reentrancy,,reentrancy,access_control,0.966,0,1,1,0,0,0,gpt-4.1-nano,0,reentrancy,reentrancy,,751,
access_control/wallet_03_wrong_constructor.sol,access_control,reentrancy,,reentrancy,access_control,1.319,0,1,1,0,0,0,gpt-4.1-nano,0,reentrancy,reentrancy,,719,
access_control/wallet_04_confused_sign.sol,access_control,reentrancy,,reentrancy,access_control,0.899,0,1,1,0,0,0,gpt-4.1-nano,0,reentrancy,reentrancy,,724,
reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,reentrancy,reentrancy,reentrancy,,,1.096,1,1,0,0,0,0,gpt-4.1-nano,0,reentrancy,reentrancy,,921,
reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,reentrancy,reentrancy,reentrancy,,,1.004,1,1,0,0,0,0,gpt-4.1-nano,0,reentrancy,reentrancy,,805,
