contract_id,gt_classes,pred_classes,tp_classes,fp_classes,fn_classes,runtime_seconds,gt_reentrancy,pred_reentrancy,gt_access_control,pred_access_control,gt_timestamp_dependency,pred_timestamp_dependency,model,skipped_llm,slither_in_scope,confirmed,rejected,total_tokens,error
access_control/FibonacciBalance.sol,access_control,access_control,access_control,,,43.784,0,0,1,1,0,0,gpt4o,0,access_control,access_control,,922,
access_control/arbitrary_location_write_simple.sol,access_control,,,,access_control,0.001,0,0,1,0,0,0,gpt4o,1,,,,0,
access_control/incorrect_constructor_name1.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt4o,1,,,,0,
access_control/incorrect_constructor_name2.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt4o,1,,,,0,
access_control/incorrect_constructor_name3.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt4o,1,,,,0,
access_control/mapping_write.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt4o,1,,,,0,
access_control/multiowned_vulnerable.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt4o,1,,,,0,
access_control/mycontract.sol,access_control,access_control,access_control,,,1.725,0,0,1,1,0,0,gpt4o,0,access_control,access_control,,617,
access_control/parity_wallet_bug_1.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt4o,1,,,,0,
access_control/parity_wallet_bug_2.sol,access_control,reentrancy|timestamp_dependency,,reentrancy|timestamp_dependency,access_control,2.812,0,1,1,0,0,1,gpt4o,0,reentrancy|access_control|timestamp_dependency,reentrancy|timestamp_dependency,access_control,4330,
access_control/phishable.sol,access_control,access_control,access_control,,,1.74,0,0,1,1,0,0,gpt4o,0,access_control,access_control,,600,
access_control/proxy.sol,access_control,access_control,access_control,,,1.865,0,0,1,1,0,0,gpt4o,0,access_control,access_control,,608,
access_control/rubixi.sol,access_control,reentrancy,,reentrancy,access_control,1.633,0,1,1,0,0,0,gpt4o,0,reentrancy,reentrancy,,1777,
access_control/simple_suicide.sol,access_control,,,,access_control,2.23,0,0,1,0,0,0,gpt4o,0,access_control,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
access_control/unprotected0.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt4o,1,,,,0,
access_control/wallet_02_refund_nosub.sol,access_control,,,,access_control,46.654,0,0,1,0,0,0,gpt4o,0,reentrancy,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
access_control/wallet_03_wrong_constructor.sol,access_control,,,,access_control,2.166,0,0,1,0,0,0,gpt4o,0,reentrancy,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
access_control/wallet_04_confused_sign.sol,access_control,,,,access_control,2.025,0,0,1,0,0,0,gpt4o,0,reentrancy,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,reentrancy,,,,reentrancy,2.165,1,0,0,0,0,0,gpt4o,0,reentrancy,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,reentrancy,,,,reentrancy,55.065,1,0,0,0,0,0,gpt4o,0,reentrancy,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,reentrancy,,,,reentrancy,2.518,1,0,0,0,0,0,gpt4o,0,reentrancy,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,reentrancy,,,,reentrancy,2.218,1,0,0,0,0,0,gpt4o,0,reentrancy,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0x561eac93c92360949ab1f1403323e6db345cbf31.sol,reentrancy,,,,reentrancy,2.114,1,0,0,0,0,0,gpt4o,0,reentrancy,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,reentrancy,,,,reentrancy,52.959,1,0,0,0,0,0,gpt4o,0,reentrancy,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,reentrancy,,,,reentrancy,2.16,1,0,0,0,0,0,gpt4o,0,reentrancy|timestamp_dependency,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,reentrancy,,,,reentrancy,2.199,1,0,0,0,0,0,gpt4o,0,reentrancy,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,reentrancy,,,,reentrancy,2.381,1,0,0,0,0,0,gpt4o,0,reentrancy|timestamp_dependency,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0x8c7777c45481dba411450c228cb692ac3d550344.sol,reentrancy,,,,reentrancy,54.295,1,0,0,0,0,0,gpt4o,0,reentrancy,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,reentrancy,,,,reentrancy,2.546,1,0,0,0,0,0,gpt4o,0,reentrancy|timestamp_dependency,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,reentrancy,,,,reentrancy,2.26,1,0,0,0,0,0,gpt4o,0,reentrancy,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,reentrancy,,,,reentrancy,2.153,1,0,0,0,0,0,gpt4o,0,reentrancy|timestamp_dependency,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,reentrancy,,,,reentrancy,53.975,1,0,0,0,0,0,gpt4o,0,reentrancy,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,reentrancy,,,,reentrancy,2.222,1,0,0,0,0,0,gpt4o,0,reentrancy,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,reentrancy,,,,reentrancy,2.761,1,0,0,0,0,0,gpt4o,0,reentrancy,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,reentrancy,,,,reentrancy,2.324,1,0,0,0,0,0,gpt4o,0,reentrancy,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,reentrancy,,,,reentrancy,54.063,1,0,0,0,0,0,gpt4o,0,reentrancy|timestamp_dependency,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,reentrancy,,,,reentrancy,2.202,1,0,0,0,0,0,gpt4o,0,reentrancy|timestamp_dependency,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,reentrancy,,,,reentrancy,2.223,1,0,0,0,0,0,gpt4o,0,reentrancy|timestamp_dependency,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/etherbank.sol,reentrancy,,,,reentrancy,2.371,1,0,0,0,0,0,gpt4o,0,reentrancy,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/etherstore.sol,reentrancy,,,,reentrancy,53.114,1,0,0,0,0,0,gpt4o,0,reentrancy|timestamp_dependency,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/modifier_reentrancy.sol,reentrancy,,,,reentrancy,2.628,1,0,0,0,0,0,gpt4o,0,reentrancy,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/reentrance.sol,reentrancy,,,,reentrancy,2.362,1,0,0,0,0,0,gpt4o,0,reentrancy,,,0,"Too many requests. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)."
reentrancy/reentrancy_bonus.sol,reentrancy,,,,reentrancy,0.004,1,0,0,0,0,0,gpt4o,1,,,,0,
reentrancy/reentrancy_cross_function.sol,reentrancy,,,,reentrancy,0.0,1,0,0,0,0,0,gpt4o,1,,,,0,
