contract_id,gt_classes,pred_classes,tp_classes,fp_classes,fn_classes,runtime_seconds,gt_reentrancy,pred_reentrancy,gt_access_control,pred_access_control,gt_timestamp_dependency,pred_timestamp_dependency,model,skipped_llm,slither_in_scope,confirmed,rejected,total_tokens,error
access_control/FibonacciBalance.sol,access_control,access_control,access_control,,,11.058,0,0,1,1,0,0,o3,0,access_control,access_control,,1322,
access_control/arbitrary_location_write_simple.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,o3,1,,,,0,
access_control/incorrect_constructor_name1.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,o3,1,,,,0,
access_control/incorrect_constructor_name2.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,o3,1,,,,0,
access_control/incorrect_constructor_name3.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,o3,1,,,,0,
access_control/mapping_write.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,o3,1,,,,0,
access_control/multiowned_vulnerable.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,o3,1,,,,0,
access_control/mycontract.sol,access_control,access_control,access_control,,,4.754,0,0,1,1,0,0,o3,0,access_control,access_control,,760,
access_control/parity_wallet_bug_1.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,o3,1,,,,0,
access_control/parity_wallet_bug_2.sol,access_control,access_control|timestamp_dependency,access_control,timestamp_dependency,,29.508,0,0,1,1,0,1,o3,0,reentrancy|access_control|timestamp_dependency,access_control|timestamp_dependency,reentrancy,5866,
access_control/phishable.sol,access_control,access_control,access_control,,,5.174,0,0,1,1,0,0,o3,0,access_control,access_control,,823,
access_control/proxy.sol,access_control,access_control,access_control,,,3.874,0,0,1,1,0,0,o3,0,access_control,access_control,,686,
access_control/rubixi.sol,access_control,,,,access_control,8.142,0,0,1,0,0,0,o3,0,reentrancy,,reentrancy,2228,
access_control/simple_suicide.sol,access_control,access_control,access_control,,,4.759,0,0,1,1,0,0,o3,0,access_control,access_control,,798,
access_control/unprotected0.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,o3,1,,,,0,
access_control/wallet_02_refund_nosub.sol,access_control,,,,access_control,16.286,0,0,1,0,0,0,o3,0,reentrancy,,reentrancy,1878,
access_control/wallet_03_wrong_constructor.sol,access_control,reentrancy,,reentrancy,access_control,4.826,0,1,1,0,0,0,o3,0,reentrancy,reentrancy,,1009,
access_control/wallet_04_confused_sign.sol,access_control,,,,access_control,5.769,0,0,1,0,0,0,o3,0,reentrancy,,reentrancy,1142,
reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,reentrancy,reentrancy,reentrancy,,,3.113,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,1068,
reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,reentrancy,reentrancy,reentrancy,,,2.841,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,882,
reentrancy/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,reentrancy,reentrancy,reentrancy,,,6.457,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,997,
reentrancy/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,reentrancy,reentrancy,reentrancy,,,2.978,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,1036,
reentrancy/0x561eac93c92360949ab1f1403323e6db345cbf31.sol,reentrancy,reentrancy,reentrancy,,,2.623,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,964,
reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,reentrancy,reentrancy,reentrancy,,,14.153,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,2101,
reentrancy/0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,9.027,1,1,0,0,0,1,o3,0,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,1601,
reentrancy/0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,reentrancy,reentrancy,reentrancy,,,2.704,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,934,
reentrancy/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,5.151,1,1,0,0,0,1,o3,0,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,1280,
reentrancy/0x8c7777c45481dba411450c228cb692ac3d550344.sol,reentrancy,reentrancy,reentrancy,,,2.071,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,890,
reentrancy/0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,7.972,1,1,0,0,0,1,o3,0,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,1418,
reentrancy/0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,reentrancy,reentrancy,reentrancy,,,6.832,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,1177,
reentrancy/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,reentrancy,reentrancy,reentrancy,,,9.076,1,1,0,0,0,0,o3,0,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,1553,
reentrancy/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,reentrancy,reentrancy,reentrancy,,,3.142,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,965,
reentrancy/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,reentrancy,reentrancy,reentrancy,,,2.971,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,953,
reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,reentrancy,reentrancy,reentrancy,,,3.079,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,941,
reentrancy/0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,reentrancy,reentrancy,reentrancy,,,3.033,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,960,
reentrancy/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,5.531,1,1,0,0,0,1,o3,0,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,1291,
reentrancy/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,7.058,1,1,0,0,0,1,o3,0,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,1143,
reentrancy/0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,5.346,1,1,0,0,0,1,o3,0,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,1140,
reentrancy/etherbank.sol,reentrancy,reentrancy,reentrancy,,,2.732,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,725,
reentrancy/etherstore.sol,reentrancy,reentrancy,reentrancy,,,8.418,1,1,0,0,0,0,o3,0,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,1056,
reentrancy/modifier_reentrancy.sol,reentrancy,reentrancy,reentrancy,,,7.797,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,1037,
reentrancy/reentrance.sol,reentrancy,reentrancy,reentrancy,,,7.679,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,757,
reentrancy/reentrancy_bonus.sol,reentrancy,,,,reentrancy,0.0,1,0,0,0,0,0,o3,1,,,,0,
reentrancy/reentrancy_cross_function.sol,reentrancy,,,,reentrancy,0.0,1,0,0,0,0,0,o3,1,,,,0,
reentrancy/reentrancy_dao.sol,reentrancy,reentrancy,reentrancy,,,6.48,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,871,
reentrancy/reentrancy_insecure.sol,reentrancy,reentrancy,reentrancy,,,3.717,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,716,
reentrancy/reentrancy_simple.sol,reentrancy,reentrancy,reentrancy,,,2.909,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,683,
reentrancy/simple_dao.sol,reentrancy,reentrancy,reentrancy,,,4.187,1,1,0,0,0,0,o3,0,reentrancy,reentrancy,,654,
reentrancy/spank_chain_payment.sol,reentrancy,reentrancy,reentrancy,,,26.448,1,1,0,0,0,0,o3,0,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,10061,
time_manipulation/ether_lotto.sol,timestamp_dependency,timestamp_dependency,timestamp_dependency,,,19.248,0,0,0,0,1,1,o3,0,reentrancy|timestamp_dependency,timestamp_dependency,reentrancy,1606,
